label,message,clean_text
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",go until jurong point crazy available only bugis n great world la e buffet cine there got amore wat
ham,Ok lar... Joking wif u oni...,ok lar joking wif u oni
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entry number wkly comp win fa cup final tkts st may number text fa number receive entry question std txt rate t c s apply over s
ham,U dun say so early hor... U c already then say...,u dun say so early hor u c already then say
ham,"Nah I don't think he goes to usf, he lives around here though",nah i don t think he goes usf he lives around here though
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",freemsg hey there darling it s been number week s now no word back i d like some fun you up it still tb ok xxx std chgs send number number rcv
ham,Even my brother is not like to speak with me. They treat me like aids patent.,even my brother not like speak me they treat me like aids patent
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune all callers press number copy your friends callertune
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner as valued network customer you have been selected receivea number prize reward claim call number claim code kl valid number hours only
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,had your mobile number months more u r entitled update latest colour mobiles camera free call mobile update co free number
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",i m gonna be home soon i don t want talk about this stuff anymore tonight k i ve cried enough today
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chances win cash from number number number pounds txt csh send number cost p day days number tsandcs apply reply hl number info
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent you have won number week free membership our number number prize jackpot txt word claim no number t c url lccltd pobox ldnw rw
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,i ve been searching right words thank you this breather i promise i wont take your help granted will fulfil my promise you have been wonderful blessing all times
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,i have date sunday will
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxxmobilemovieclub use your credit click wap link next txt message click here url xxxmobilemovieclub com n qjkgighjjgcbl
ham,Oh k...i'm watching here:),oh k i m watching here
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh u remember how number spell his name yes i did he v naughty make until i v wet
ham,Fine if thats the way u feel. Thats the way its gota b,fine if that s way u feel that s way its gota b
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",england v macedonia dont miss goals team news txt ur national team number eg england number try wales scotland txt number poboxox w wq number
ham,Is that seriously how you spell his name?,that seriously how you spell his name
ham,I‘m going to try for 2 months ha ha only joking,i m going try number months ha ha only joking
ham,So ü pay first lar... Then when is da stock comin...,so pay first lar then when da stock comin
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft i finish my lunch then i go str down lor ard number smth lor u finish ur lunch already
ham,Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff alright no way i can meet up you sooner
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,just forced myself eat slice i m really not hungry tho this sucks mark getting worried he knows i m sick when i turn down pizza lol
ham,Lol your always so convincing.,lol your always so convincing
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,did you catch bus you frying egg did you make tea you eating your mom s left over dinner do you feel my love
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",i m back amp we re packing car now i ll let you know if there s room
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh work i vaguely remember that what does it feel like lol
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait that s still not all that clear were you not sure about me being sarcastic that that s why x doesn t want live us
